Company Name;Date;Ticker;Adj Close;Close value in reference period;Number of Records
Sourcefire;31.12.2012;FIRE;$8.34;;1
Symantec;31.12.2012;SYMC;$16.14;;1
VASCO;31.12.2012;VDSI;$27.92;;1
Sourcefire;02.01.2013;FIRE;$8.10;;1
Symantec;02.01.2013;SYMC;$16.06;;1
VASCO;02.01.2013;VDSI;$27.48;;1
Sourcefire;03.01.2013;FIRE;$8.02;;1
Symantec;03.01.2013;SYMC;$16.09;;1
VASCO;03.01.2013;VDSI;$26.97;;1
Sourcefire;04.01.2013;FIRE;$7.45;;1
Symantec;04.01.2013;SYMC;$15.72;;1
VASCO;04.01.2013;VDSI;$24.79;;1
Sourcefire;07.01.2013;FIRE;$7.45;;1
Symantec;07.01.2013;SYMC;$15.44;;1
VASCO;07.01.2013;VDSI;$22.84;;1
Sourcefire;08.01.2013;FIRE;$7.00;;1
Symantec;08.01.2013;SYMC;$15.67;;1
VASCO;08.01.2013;VDSI;$23.08;;1
Sourcefire;09.01.2013;FIRE;$6.59;;1
Symantec;09.01.2013;SYMC;$15.59;;1
VASCO;09.01.2013;VDSI;$21.90;;1
Sourcefire;10.01.2013;FIRE;$6.75;;1
Symantec;10.01.2013;SYMC;$15.57;;1
VASCO;10.01.2013;VDSI;$20.86;;1
Sourcefire;11.01.2013;FIRE;$6.33;;1
Symantec;11.01.2013;SYMC;$15.27;;1
VASCO;11.01.2013;VDSI;$20.80;;1
Sourcefire;14.01.2013;FIRE;$6.39;;1
Symantec;14.01.2013;SYMC;$15.67;;1
VASCO;14.01.2013;VDSI;$21.68;;1
Sourcefire;15.01.2013;FIRE;$6.21;;1
Symantec;15.01.2013;SYMC;$15.40;;1
VASCO;15.01.2013;VDSI;$20.11;;1
Sourcefire;16.01.2013;FIRE;$6.20;;1
Symantec;16.01.2013;SYMC;$15.99;;1
VASCO;16.01.2013;VDSI;$19.13;;1
Sourcefire;17.01.2013;FIRE;$5.94;;1
Symantec;17.01.2013;SYMC;$15.27;;1
VASCO;17.01.2013;VDSI;$17.67;;1
Sourcefire;18.01.2013;FIRE;$5.66;;1
Symantec;18.01.2013;SYMC;$15.18;;1
VASCO;18.01.2013;VDSI;$17.51;;1
Sourcefire;22.01.2013;FIRE;$5.45;;1
Symantec;22.01.2013;SYMC;$15.02;;1
VASCO;22.01.2013;VDSI;$16.99;;1
Sourcefire;23.01.2013;FIRE;$5.39;;1
Symantec;23.01.2013;SYMC;$15.26;;1
VASCO;23.01.2013;VDSI;$17.40;;1
Sourcefire;24.01.2013;FIRE;$5.69;;1
Symantec;24.01.2013;SYMC;$16.93;;1
VASCO;24.01.2013;VDSI;$19.47;;1
Sourcefire;25.01.2013;FIRE;$5.53;;1
Symantec;25.01.2013;SYMC;$16.38;;1
VASCO;25.01.2013;VDSI;$19.37;;1
Sourcefire;28.01.2013;FIRE;$5.67;;1
Symantec;28.01.2013;SYMC;$16.86;;1
VASCO;28.01.2013;VDSI;$19.55;;1
Sourcefire;29.01.2013;FIRE;$6.41;;1
Symantec;29.01.2013;SYMC;$16.87;;1
VASCO;29.01.2013;VDSI;$19.05;;1
Sourcefire;30.01.2013;FIRE;$6.47;;1
Symantec;30.01.2013;SYMC;$17.05;;1
VASCO;30.01.2013;VDSI;$18.64;;1
Sourcefire;31.01.2013;FIRE;$6.80;;1
Symantec;31.01.2013;SYMC;$17.93;;1
